,,,,,,,,,polyline: POLYLINE(#2D1),,,
裂缝编号,0,,裂缝编号,1,,裂缝编号,2,,颜色, [21,124, 253]
长度,78.6382,,长度,116.8689,,长度,69.823,,,,,
最大宽度,48.4142,,最大宽度,33.4491,,最大宽度,17.5471,,,,,
平均宽度,16.3663,,平均宽度,9.5789,,平均宽度,9.3129,,,,,
面积,598.3826,,面积,607.2854,,面积,676.4953,,,,,
,,,,,,,,,,,,
裂缝编号,3,,裂缝编号,4,,裂缝编号,5,,polyline: POLYLINE(#32B),,,
长度,102.9397,,长度,156.3584,,长度,393.362,,颜色, [0,103, 138]
最大宽度,21.7035,,最大宽度,85.8385,,最大宽度,75.0729,,,,,
平均宽度,9.9825,,平均宽度,23.0312,,平均宽度,13.9078,,,,,
面积,753.8548,,面积,1269.2323,,面积,3118.2345,,,,,
,,,,,,,,,,,,
裂缝编号,6,,裂缝编号,7,,裂缝编号,8,,,,,
长度,86.3983,,长度,399.1305,,长度,66.5235,,polyline: POLYLINE(#47B),,,
最大宽度,12.3437,,最大宽度,86.2415,,最大宽度,8.9258,,颜色, [0,93, 46]
平均宽度,7.0418,,平均宽度,13.3299,,平均宽度,4.414,,,,,
面积,738.8732,,面积,3009.8047,,面积,372.2642,,,,,
,,,,,,,,,,,,
汇总,,,,,,,,,,,,
总长度,1470.0423,,,,,,,,,,,
最大宽度,86.2415,,,,,,,,,,,
平均宽度,13.0488,,,,,,,,,,,
总面积,11144.4269,,,,,,,,,,,
,,,,,,,,,,,,
